,video_id,comments
0,yR0EtpwiEg8,"['🤣🤣🤣🎇', '😅 a ja właśnie Rudolfa sobie podśpiewuję 😄', 'Droga Ulenko, zdrowych i, spokojnych i radosnych Świąt Bożego Narodzenia dla całej rodzinki 🌲🎁🌲😘😘😘', 'Sławek z Grażyną cudowni !!!! 🥰😁']"
1,CLkUG5xzD04,['Bardzo ładnie😉']
2,BzT4CSfSCOA,"['Dlaczego wszyscy pokazują pakowanie prezentów ""równych i kształtnych""! A co z tymi ""trudnymi""? To dopiero jest wyzwanie 👍', 'Fajnie zpakowanie 🥰 i od razu prezent patrzy się na ""Ciebie"" 😀🎁']"
3,NEMIYoN4CTw,['Zapakowane pięknie i kolorowo 😀🎁']
4,IQOJyL6Tzl8,"['Ulu, ja z innej beczki. Czy może powstać film o nautralizowaniu brzydkich zapachów? Ostatnio widziałam patent na śmietnik. Przykleja się wkładkę higieniczną nasączoną olejkiem eterycznym do środka kubła która to pięknie pochłaniana zapachy (sprawdzone - działa!). Są takie rzeczy których nie da się wyprać, np strój do hokeja, łyżwy, kaski, torby podróżne do których coś się wylało (olej ze śledzia 😆). Jak z takimi rzeczami pracować?', 'Wszystkiego najlepszego na nowy rok', 'Piękny odcinek ❤', 'Ulka tak bardzo chciałabym mieć Was w święta u siebie, takich ludzi od serca', 'Witaj Ulu ! A ja czekam aby ten rok sieskonczyl i rozpiczął nowy 2023 rok ! Zeby wszystkie klopoty i choroby zostały w starym roku i nie przeszly na nowy rok ! A wszystkim zycze cudownego czasu przedswiatecznego zdrowych i radosnych swiat i szczesliwego nowego 2023 roku ! Buziaczki papa ! 👍🏡🎁♥️☕⭐🙂❄🎄💋💥☃️🧑\u200d🎄', 'Dla nas świata to prawdziwy czas odpoczynku, wspólnego czasu. Ja jeśli tylko mogę przygotowuje cześć potraw dużo wcześniej i poprostu mrożę. I przez święta jemy najpierw to co było na wigilii a dopiero później coś innego. Poza tym w przygotowaniach pomagają wszyscy domownicy (mąż i syn), razem ze mną gotują i sprzątają.  i nawet jeśli robię coś szybciej na święta, to nie stosuje zasady ,, nie ruszaj bo to na święta, (najwyższej w czasie świąt będzie tej potrawy mniej i tyle), w ten sposób nie ma stresów i nie zostaje nam później jedzenie. Życzę wam wszystkim wesołych świąt, i żeby wasze świata były spokojne i takie jak sobie wymarzycie.', 'Jak Pani pięknie wygląda! Uśmiech i klasa! Pozdrawiam :D', 'W tym roku postawiłam na totalny luz.\nCo roku zapierniczałam robiąc wigilię.\nTym razem jade do brata.\nU siebie ...\nŻadnych generalnych porządków.\nTylko na bieżąco.\n2 ozdoby i lampki na oknie.\nStarczy.\nZamiast choinki \nKilka gałązek w wazonie.\nPrezenty beda ale przydatne.\nTo co kazdy chciał dostanie.\nI tyle.\nOdpoczynek spokój .\nI tego życze wszystkim .', 'Dla Wszystkich Pedantulowiczow i dla Ekipy PedantUli oraz oczywiście dla Uli i jej rodziny: ZDROWYCH I WESOŁYCH ŚWIAT!', 'Super pomysł. Dziękuję ❤️']"
5,9kKOZ4AqHgc,"['Gdzie szukać takiej żony? ;)', 'Ja w tym roku kupiłem wszystkim gwiazde betlejemską i przyozdabiam ją tylko kokardką :D', 'Mój patent jest taki, że oklejam papierem ozdobnym pudełko po butach bądź inny ciekawy kartonik i do środka wkładam prezent. Takie pudełka również są wielorazowe a wyglądają dużo bardziej elegancko niż torebka. Do tego dajemy drugie życie tym oto kartonikiem ( często do tych przyozdobionych pudelek chowam później drobne dekoracje świąteczne by wykorzystać ich pojemność a nie żeby tylko zabierały miejsce) Jak dla mnie genialne , stosuje od lat i polecam :)  praca nie idzie na marne a i obdarowany ma 2 prezenty w jednym ;p', 'Dekoracje przepiękne ale czy tylko ja zawsze dostaję/wręczam prezenty w ozdobnej torebce? ;)', 'Wspaniałe pomysły! 🤩Juz mam pomysł jak zapakować drukarkę instaxa dla siostry (młoda jara się fotografią). Takze prezent wymarzony, ale teraz bedzie jeszcze pieknie zapakowany! 😍', 'Bardzo lubię robić na szydełku jakieś małe gwiadzeczki choineczki aniołki śnieżynki i takie drobiazgi dowiązuje co roku do prezentów...... Czasem jak jedziemy w święta do rodziny to jest mi niesamowicie miło kiedy widzę te moje ""prezentowe dekoracje"" zbierane przez moich bliskich latami na choince....   To jest dla mnie naprawde wyjatkowo miłe🎄🎄🎄🎄🎄🎄🎁🎁🎁🎁🎁🎁🎁💝💝💝💝💝💝', 'Zawsze miałam problem z tym jak zapakować prezenty dla dzieci, bo oprócz jednego większego były jakieś słodycze i drobiazgi. Zawsze wychodziłam z założenia że dla jednego dziecka jeden pakunek. A w tym roku zrobiłam inaczej. Słodycze w ananasa a gry i puzzle elegancko w pudełku owiniętym w papier. Zobaczymy czy będzie też większa radość że są dwa prezenty a nie jeden 😉', 'Super ❤️😀😍😍', 'Po odcinku prezentowym zbierałam szczękę z podłogi, skąd Ty masz kobieto te pomysły?! 😮 Piękne rzeczy robisz, chyba aż żal te prezenty otwierać 😉 a tak na marginesie, czy tylko dla mnie dziwne jest to, że zwykły papier pakowy jest nazywany szarym, a nigdy nie ma szarego koloru? 😆', 'Ja mam pytanie do teszty widzow do Pani tez w sumie Ulu mianowicie: czy macie wrazenie ze te piekne ozdoby i staranne pakowanie wiekszosc osob obdarowanych ma gdzies?😅 takie cuda robi i doceni tylko esteta… ja naleze do tego grona ale czy uwazacie ze warto dla kazdego pakowac w ten sposob i faktycznie tak robicie?🤔 ja wlasnie wzielam sie za pakowanko i taka refleksja mnie naszla']"
6,21VBZO6NOtI,"['Ula czy masz szkolenie na guns 🔫 💪', 'Aż żal rozpakowywać.', 'Idę po szyszki! :)']"
7,7qWrhMtoLTg,"['Film rewelacyjny, bardzo mi pomógł. Skorzystałam ogromnie z tej wirtualnej wizyty w OBI :D Na przebitce, na środku wystawki, stał przepiękny, aluminiowy jeleń. To właśnie on stał się jednym z tegorocznych prezentów :D', 'Droga Ulu, super propozycje.\n  Ja też lubię łączyć prezenty tematycznie.\nJak kubek do herbaty, to koniecznie super herbatka np. jaśminowa.', 'żeby można było kupić rozum ale tego się nie da kupić  pozniej i tak to w koszu ląduje i po co to zaśmiecać chiny przynajmniej robotę mają   wariaty  głupie', 'Ale właśnie ten dobór prezentów do osób jest najgorszy 🙃', 'Hahah oj tak lasotasma w różnych kolorach, rozmiarach 🤣 standard w przygotowaniu scenografii i planach filmowych/reklamowych 🤣 taśma do wszystkiego', 'A ja kupuje  w  polskich sklepach \nPoproszę  czasami coś dla mnie', 'Kocham Cię Uleńko!!! Wszyskie propozycje prezentowe -PETARDA!!!Dzięks!!!', 'Super 🙏', 'Och te technikalia, ale są wkurzające, gdy nas nie słuchają🤩 A poza tym jest pani bardzo kreatywna. Największą frajdę sprawiły mi te zestawy, jak pani to cudnie potrafi dobrać i ładnie o tym opowiedzieć. Brawo. Pozdrawiam🎄', 'trochę Kolęd dla wzmocnienia efektu   ⭐🎄 https://youtu.be/iyQm7ilHkTc']"
8,uXTu00kN8_o,['Pięknie zapakowane 😀 i ten złoty kolor 😍']
9,aaeE3893rCw,"['Sidolux to jest to 😊 wspomnienia z dzieciństwa wrocily.  Podczas swuatecznego pobytu w pl wstapilam do rossmanna powachac plyn o zapachu mydla marsylskiego ..... przepadlam 🥰 uwielbiam dziękuję 😊', 'Ładny klimacik świąteczny. Ja kupiłem w każdy kąt gwiazde betlejemską i super się prezentuje :)', 'Po obejrzeniu tego odcinka kupiłam kilka produktów sidolux 😊 \nJestem zachwycona płynem multispray i płynem do mycia podłóg 🤩 cudowny zapach 🥰 \nŚrodek na przypalenia i odplamiacz, również super 😁 \nW dodatku dostałam 3 produkty gratis, dzisiaj testowałam płyn ułatwiający prasowanie marki perlux 😊 też jest fajny 😁', 'Za dużo czasu poświęcone na reklamę - wyłączyłam w 9 minucie', 'A jak wyczyścić sztuczną choinkę po roku w schowku? Wanna i prysznic? Czy jest jakieś lepsze wyjście?', 'Wydrukowałam sobie specjalny harmonogram z netu i łatwiej jest mi planować przygotowania do świąt :) Zaczęłam prace już na początku grudnia, w sprzątaniu wyręcza mnie roomba, a potrawy wigilijne zamówiłam w zaprzyjaźnionym bistro.', 'początek o odpuszczaniu mnie kupił! Daję Suba:)', 'Moja rodzina ma piękne tradycje, które staram się wprowadzić w moim domu.Kocham święta, które pamiętam z dzieciństwa. Moi dziadkowie zawsze dbali, żeby święta Bożego Narodzenia były czasem dla rodziny, świętującej i radujacej się z narodzin Jezusa. Zauważyłam, że współczesne liczy się zupełnie coś innego, a to przecież jak sama nazwa mówi to  Boże Narodzenie. Co tu dużo pisać, szukałam ostatnio kartek świątecznych i nie znalazłam tradycyjnych, z szopką. Nie zawsze były prezenty, bo różnie bywało. Natomiast były i są do tej pory, pierogi z kapustą i grzybami, po które chodziłam z dziadkami do lasu. Mojego dziadka już nie ma, ale jest jeszcze babcia. Ma swoje lata jest słaba. Nie wyobrażam sobie, żeby nie być u niej na święta. Dlatego jedziemy wcześniej, aby pomóc i razem przygotowywać się do świąt.', '❤', 'Super odcinek i rady, jak zawsze. Bardzo dziękuję ❤️\nA płyn uniwersalny Sidolux uwielbiam. Wspaniale pachnie i jest mega praktyczny. Odkąd kilka lat temu go odkryłam nie używam innego. \nZdrowych i wspaniałych świąt dla Pani, oczywiście z czystą pościelą w wigilię (u mnie też to jeden z kluczowych elementów na liście) 🙂🎄🎆❄️']"
