,video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption
0,yR0EtpwiEg8,Ula Pedantula,Koniec świątecznych przygotowań - na wesoło ;) #shorts,,,2022-12-23T11:05:47Z,30647,436,,4,PT24S,hd,false
1,CLkUG5xzD04,Ula Pedantula,"Dekorowanie prezentów świątecznych, cz. 6 #shorts",,,2022-12-22T09:45:09Z,3869,166,,2,PT58S,hd,false
2,BzT4CSfSCOA,Ula Pedantula,"Dekorowanie świątecznych prezentów, cz. 6 #shorts",,,2022-12-21T10:00:51Z,3526,152,,3,PT56S,hd,false
3,NEMIYoN4CTw,Ula Pedantula,"Dekorowanie świątecznych prezentów, cz. 5 #shorts",,,2022-12-20T13:21:42Z,4271,148,,1,PT38S,hd,false
4,IQOJyL6Tzl8,Ula Pedantula,"Święta, święta, a po Świętach wyzwanie, czyli praca domowa od Pedantuli! | Ula Pedantula #","Święta, Święta, a po Świętach wyzwanie, czyli praca domowa od Pedantuli! Tak, tak, w dzisiejszym ostatnim przedświątecznym odcinku mam dla Was małe zadanie domowe na wigilijny wieczór lub pierwszy dzień Świąt! Jeśli podejmiecie to wyzwanie, zobaczycie, że kolejne Święta Bożego Narodzenia będą spokojniejsze, radośniejsze i może trochę bardziej na luzie i po Waszemu. Żegnając się z Wami na ten rok, życzę Wam spokoju, szczęścia i radości - dobrych, pogodnych i zdrowych Świąt! Ściskam Was najmocniej na świecie i zapraszam na odcinek. Wasza Ula Pedantula.

Moje filmy tak pięknie montują Pixel Media: pixelmediamontaz@gmail.com

--------------
e-book kulinarny ""PrzepisUlek"": https://przepisulek.pl
""Podaj dalej"" i ""Pozamiatane"": https://podaj.alt.pl
Wygodnie: http://takwygodnie.pl
Subskrybuj mój kanał: http://bit.ly/1jTBfO9
Facebook: https://www.facebook.com/UlaPedantula
Blog:  http://ulapedantula.pl/ 
Insta: https://www.instagram.com/ulapedantula/","['ula pedantula', 'pedantula', 'ula chincz', 'urszula chincz', 'dom', 'prowadzenie domu', 'porządki', 'porady', 'święta', 'boże narodzenie', 'święta bożego narodzenia', 'święta święta', 'święta święta i po świętach', 'życzenia świąteczne', 'wyzwanie', 'wyzwanie świąteczne', 'wigilia']",2022-12-19T17:00:19Z,37074,1397,,150,PT10M1S,hd,true
5,9kKOZ4AqHgc,Ula Pedantula,Jak prosto i pięknie udekorować świąteczne prezenty - pomysły pod choinkę | Ula Pedantula #380,"Partnerem dzisiejszego odcinka jest marka PLUS.

Jak prosto i pięknie udekorować świąteczne prezenty - pomysły pod choinkę. Dziś podpowiem Wam, jak poradzić sobie z ozdabianiem i przystrajaniem prezentów zapakowanych w - wydawałoby się - nudny szary papier pakowy, jak zrobić bożonarodzeniowe dekoracje i ozdoby z tego, co macie pod ręką, jak naturalnie i ekologicznie udekorować prezent pod choinkę i zrobić to pięknie, a niedrogo. Zapraszam na kolejny odcinek pełen świątecznych inspiracji. Wasza Ula Pedantula.

Ofertę PLUSA znajdziecie tutaj:  https://bit.ly/3Vh1F4u

Moje filmy tak pięknie montują Pixel Media: pixelmediamontaz@gmail.com

--------------
e-book kulinarny ""PrzepisUlek"": https://przepisulek.pl
""Podaj dalej"" i ""Pozamiatane"": https://podaj.alt.pl
Wygodnie: http://takwygodnie.pl
Subskrybuj mój kanał: http://bit.ly/1jTBfO9
Facebook: https://www.facebook.com/UlaPedantula
Blog:  http://ulapedantula.pl/ 
Insta: https://www.instagram.com/ulapedantula/","['ula pedantula', 'pedantula', 'ula chincz', 'urszula chincz', 'dom', 'prowadzenie domu', 'porządki', 'porady', 'święta', 'święta bożego narodzenia', 'boże narodzenie', 'prezent', 'prezenty', 'prezenty na święta', 'prezent na święta', 'prezenty świąteczne', 'świąteczne prezenty', 'pakowanie prezentów', 'dekorowanie prezentów', 'jak zapakować prezent']",2022-12-16T17:00:05Z,39377,1218,,93,PT27M57S,hd,true
6,21VBZO6NOtI,Ula Pedantula,"Dekorowanie prezentów świątecznych, cz. 4. #shorts",,,2022-12-15T08:29:43Z,4984,226,,3,PT56S,hd,false
7,7qWrhMtoLTg,Ula Pedantula,"Prezenty z marketów 2022 - Biedronka, Lidl, Pepco i Obi | Ula Pedantula #379","Dziś prezenty z marketów, edycja 2022. Biedronka, Lidl, Pepco i Obi - co mają do zaoferowania, na jakich działach można znaleźć fajne i oryginalne prezenty pod choinkę, jak je zapakować oraz czym w ogóle się kierowałam, szukając bożonarodzeniowych inspiracji i świątecznych prezentów właśnie tam. Zapraszam Was gorąco na odcinek! Wasza Ula Pedantula!

A skoro mowa o prezentach, to pamiętajcie, że od teraz do środy 14.12.2022 do 23:59 możecie kupić moje książki ""Pozamiatane"" i ""Podaj dalej"" oraz PlanUlki bez kosztów dostawy! Wejdźcie na https://ula.alt.pl!

A moje filmy tak pięknie montują Pixel Media: pixelmediamontaz@gmail.com

--------------
e-book kulinarny ""PrzepisUlek"": https://przepisulek.pl
""Podaj dalej"" i ""Pozamiatane"": https://podaj.alt.pl
Wygodnie: http://takwygodnie.pl
Subskrybuj mój kanał: http://bit.ly/1jTBfO9
Facebook: https://www.facebook.com/UlaPedantula
Blog:  http://ulapedantula.pl/ 
Insta: https://www.instagram.com/ulapedantula/","['ula pedantula', 'pedantula', 'ula chincz', 'urszula chincz', 'dom', 'prowadzenie domu', 'porządki', 'porady', 'święta', 'święta bożego narodzenia', 'boże narodzenie', 'prezenty', 'prezenty na święta', 'świąteczne prezenty', 'prezenty świąteczne', 'prezenty pod choinkę', 'prezenty pod choinkę 2022', 'prezenty z pepco', 'prezenty z biedronki', 'prezenty z lidla']",2022-12-12T17:00:02Z,139806,3508,,234,PT21M16S,hd,true
8,uXTu00kN8_o,Ula Pedantula,"Dekorowanie prezentów świątecznych, cz. 3 #shorts",,,2022-12-10T11:18:05Z,6034,216,,1,PT1M,hd,false
9,aaeE3893rCw,Ula Pedantula,Świąteczne porządki i przygotowania - jak rozplanować je z głową | Ula Pedantula #378,"Dzisiejszy odcinek powstał we współpracy z marką Sidolux. 

Dziś świąteczne porządki i przygotowania - jak rozplanować je z głową, czyli moje porady i patenty na to, żeby w fajnej, miłej i spokojnej atmosferze przygotować dom do Świąt Bożego Narodzenia bez zajeżdżania się i robienia wszystkiego na ostatnią chwilę. A jak wygląda Wasz harmonogram pracy na grudzień i przedświąteczne porządki? Dawajcie znać w komentarzach. Zapraszam na odcinek! Wasza Ula Pedantula.

W dniach 09.-16.12.2022 kod ULA10 daje 10% zniżki na zakupy w sklepie internetowym https://www.sklep-sidolux.pl/
Dodatkowo do końca roku sklep oferuje darmową dostawę od 99 zł!

Moje filmy tak pięknie montują Pixel Media: pixelmediamontaz@gmail.com

--------------
e-book kulinarny ""PrzepisUlek"": https://przepisulek.pl
""Podaj dalej"" i ""Pozamiatane"": https://podaj.alt.pl
Wygodnie: http://takwygodnie.pl
Subskrybuj mój kanał: http://bit.ly/1jTBfO9
Facebook: https://www.facebook.com/UlaPedantula
Blog:  http://ulapedantula.pl/ 
Insta: https://www.instagram.com/ulapedantula/","['ula pedantula', 'pedantula', 'ula chincz', 'urszula chincz', 'dom', 'prowadzenie domu', 'porządki', 'porady', 'patenty', 'święta', 'święta bożego narodzenia', 'boże narodzenie', 'przygotowania do świąt', 'przygotowania do świąt bożego narodzenia', 'świąteczne porządki', 'porządki świąteczne', 'porządki świąteczne od czego zacząć', 'świąteczne przygotowania', 'sidolux', 'płyn uniwersalny do podłóg']",2022-12-09T17:00:02Z,80253,2445,,301,PT21M37S,hd,true
