,PassengerId,Ticket,Fare
0,1,A/5 21171,7.25
1,2,PC 17599,71.2833
2,3,STON/O2. 3101282,7.925
3,4,113803,53.1
4,5,373450,8.05
5,6,330877,8.4583
6,7,17463,51.8625
7,8,349909,21.075
8,9,347742,11.1333
9,10,237736,30.0708
10,11,PP 9549,16.7
11,12,113783,26.55
12,13,A/5. 2151,8.05
13,14,347082,31.275
14,15,350406,7.8542
15,16,248706,16.0
16,17,382652,29.125
17,18,244373,13.0
18,19,345763,18.0
19,20,2649,7.225
20,21,239865,26.0
21,22,248698,13.0
22,23,330923,8.0292
23,24,113788,35.5
24,25,349909,21.075
25,26,347077,31.3875
26,27,2631,7.225
27,28,19950,263.0
28,29,330959,7.8792
29,30,349216,7.8958
30,31,PC 17601,27.7208
31,32,PC 17569,146.5208
32,33,335677,7.75
33,34,C.A. 24579,10.5
34,35,PC 17604,82.1708
35,36,113789,52.0
36,37,2677,7.2292
37,38,A./5. 2152,8.05
38,39,345764,18.0
39,40,2651,11.2417
40,41,7546,9.475
41,42,11668,21.0
42,43,349253,7.8958
43,44,SC/Paris 2123,41.5792
44,45,330958,7.8792
45,46,S.C./A.4. 23567,8.05
46,47,370371,15.5
47,48,14311,7.75
48,49,2662,21.6792
49,50,349237,17.8
50,51,3101295,39.6875
51,52,A/4. 39886,7.8
52,53,PC 17572,76.7292
53,54,2926,26.0
54,55,113509,61.9792
55,56,19947,35.5
56,57,C.A. 31026,10.5
57,58,2697,7.2292
58,59,C.A. 34651,27.75
59,60,CA 2144,46.9
60,61,2669,7.2292
61,62,113572,80.0
62,63,36973,83.475
63,64,347088,27.9
64,65,PC 17605,27.7208
65,66,2661,15.2458
66,67,C.A. 29395,10.5
67,68,S.P. 3464,8.1583
68,69,3101281,7.925
69,70,315151,8.6625
70,71,C.A. 33111,10.5
71,72,CA 2144,46.9
72,73,S.O.C. 14879,73.5
73,74,2680,14.4542
74,75,1601,56.4958
75,76,348123,7.65
76,77,349208,7.8958
77,78,374746,8.05
78,79,248738,29.0
79,80,364516,12.475
80,81,345767,9.0
81,82,345779,9.5
82,83,330932,7.7875
83,84,113059,47.1
84,85,SO/C 14885,10.5
85,86,3101278,15.85
86,87,W./C. 6608,34.375
87,88,SOTON/OQ 392086,8.05
88,89,19950,263.0
89,90,343275,8.05
90,91,343276,8.05
91,92,347466,7.8542
92,93,W.E.P. 5734,61.175
93,94,C.A. 2315,20.575
94,95,364500,7.25
95,96,374910,8.05
96,97,PC 17754,34.6542
97,98,PC 17759,63.3583
98,99,231919,23.0
99,100,244367,26.0
100,101,349245,7.8958
101,102,349215,7.8958
102,103,35281,77.2875
103,104,7540,8.6542
104,105,3101276,7.925
105,106,349207,7.8958
106,107,343120,7.65
107,108,312991,7.775
108,109,349249,7.8958
109,110,371110,24.15
110,111,110465,52.0
111,112,2665,14.4542
112,113,324669,8.05
113,114,4136,9.825
114,115,2627,14.4583
115,116,STON/O 2. 3101294,7.925
116,117,370369,7.75
117,118,11668,21.0
118,119,PC 17558,247.5208
119,120,347082,31.275
120,121,S.O.C. 14879,73.5
121,122,A4. 54510,8.05
122,123,237736,30.0708
123,124,27267,13.0
124,125,35281,77.2875
125,126,2651,11.2417
126,127,370372,7.75
127,128,C 17369,7.1417
128,129,2668,22.3583
129,130,347061,6.975
130,131,349241,7.8958
131,132,SOTON/O.Q. 3101307,7.05
132,133,A/5. 3337,14.5
